,precision,recall,f1-score,support
Anxiety,0.8056338028169014,0.7447916666666666,0.774018944519621,768.0
Bipolar,0.8125,0.7482014388489209,0.7790262172284644,556.0
Depression,0.7059763502716523,0.7169750081142486,0.7114331723027375,3081.0
Normal,0.8814962878355226,0.9443254817987152,0.9118298626495348,3269.0
Personality disorder,0.7443181818181818,0.6093023255813953,0.670076726342711,215.0
Stress,0.6498800959232613,0.5241779497098646,0.5802997858672377,517.0
Suicidal,0.664753706360593,0.652275926794932,0.6584557081951682,2131.0
accuracy,0.7664420613077726,0.7664420613077726,0.7664420613077726,0.7664420613077726
macro avg,0.7520797750037304,0.7057213996449633,0.726448631015068,10537.0
weighted avg,0.763007291223529,0.7664420613077726,0.763740452752881,10537.0
