class,feature,weight
Anxiety,word::restless,3.2040684775783426
Anxiety,word::nervous,2.860200566857722
Anxiety,word::stressing,2.1175958100695333
Anxiety,char::estl,1.9701009285170819
Anxiety,word::rabies,1.8864894864280166
Anxiety,word::googling,1.7303890973341267
Anxiety,word::hiv,1.6908469333618066
Anxiety,word::go doctor,1.6338889782311645
Anxiety,word::amp x200b,1.6287566642592852
Anxiety,word::sometimes think,1.6035350977954825
Anxiety,word::anxiety,1.6017933411763154
Anxiety,word::counseling,1.5580321463592481
Anxiety,word::flu,1.5502025986078274
Anxiety,char:: rest,1.5140453497157231
Anxiety,char::stl,1.4756794019569524
Anxiety,word::bothering,1.4580119964173939
Anxiety,word::depressant,1.4519333078254801
Anxiety,word::really scared,1.4424405846089752
Anxiety,word::anxious,1.4415688550101804
Anxiety,char::s? ,1.405196059974168
Bipolar,word::bp,3.4151945481290515
Bipolar,word::hypomanic,3.2628095819937175
Bipolar,char::mani,2.5131564767619023
Bipolar,word::hypomania,2.418093740175953
Bipolar,word::manic,2.275647032708842
Bipolar,word::latuda,2.2513198303574677
Bipolar,word::seroquel,2.243326735251794
Bipolar,word::lithium,2.2230526055445403
Bipolar,word::stable,1.9520169720951328
Bipolar,word::cycling,1.898602412910029
Bipolar,word::lamictal,1.8776938148928892
Bipolar,char::s? ,1.74729353158123
Bipolar,word::psychosis,1.7114420532241685
Bipolar,word::meds,1.6179757931762389
Bipolar,word::delusion,1.5784945542972317
Bipolar,word::dosage,1.5375449133483938
Bipolar,word::illness,1.4415828673928222
Bipolar,word::guess my,1.4386431064615433
Bipolar,word::hallucination,1.3974420235846552
Bipolar,char::olar,1.3901841921904128
Depression,word::doe,2.76477002793731
Depression,word::wa,2.310182539696287
Depression,char::iety ,2.252809775775184
Depression,word::depression,2.1477581022144
Depression,word::tw,2.104052069259788
Depression,char::ety ,1.9207682260457764
Depression,word::someone tell,1.8969934318445458
Depression,word::since wa,1.8793472051502034
Depression,word::feel stupid,1.8589784390260269
Depression,word::affecting,1.853477569605539
Depression,word::numbness,1.8481259738833045
Depression,word::longest,1.8330695044899317
Depression,word::silence,1.6691512237688069
